Phi,V,DV,DDV
1.5942291807048887,-26.734704459120202,-114.25314569981462,-345.3470170107573
1.6217158907170421,-30.00589093172961,-123.772208723585,-346.6170380691628
1.6492026007291953,-33.538703094923584,-133.27187041463483,-344.04633366414174
1.6766893107413485,-37.331341964080494,-142.67066635047516,-339.97405119127137
1.704176020753502,-41.38107622903724,-151.99551004526734,-339.49051649806205
1.7316627307656551,-45.687618641546564,-161.37778050683167,-343.43103984852377
1.7591494407778083,-50.25346754042469,-170.85391214443848,-345.57783088306087
1.7866361507899615,-55.08058018298171,-180.4016448292087,-350.7957553863477
1.814122860802115,-60.173361998165625,-190.22481173815504,-364.2006814100869
1.8416095708142681,-65.54081531556369,-200.3590224533567,-372.0920604118504
1.8690962808264213,-71.18963259599607,-210.71015575144904,-382.2600124910749
1.8965829908385747,-77.12694355376263,-221.33038521070108,-388.312674089977
1.924069700850728,-83.35767568436142,-232.0639715994916,-395.1493586411468
1.9515564108628811,-89.8868022451556,-243.02388750057725,-397.40911018368536
1.9790431208750343,-96.71509657027157,-253.7742387848638,-388.8095489749308
2.0065298308871875,-103.83902988107263,-264.63711460062444,-399.2711504690275
2.0340165408993407,-111.26178164060485,-275.35321063324477,-377.88457285584116
2.0615032509114943,-118.9723685015304,-285.7134729716729,-382.024527652072
2.0889899609236475,-126.97004491293085,-296.147480183806,-366.98977242476434
2.1164766709358007,-135.24369389243893,-305.70623518678474,-333.34751224860975
2.143963380947954,-143.7692127972157,-314.4480389791182,-291.68176231235094
2.171450090960107,-152.51123873970047,-321.21810659544036,-200.51435316001192
2.1989368009722603,-161.40413546527563,-325.3399122961824,-87.0526067406945
2.2264235109844135,-170.35722377374373,-325.23229133685834,102.39318811027454
2.253910220996567,-179.23223707691068,-319.57223775413945,314.16465940766386
2.2813969310087203,-187.86420376566974,-307.1287733001508,617.9635044358438
2.3088836410208735,-196.01609297662117,-283.7016273907949,1124.4613298013694
2.3363703510330267,-203.30604245241955,-243.54273562979176,1817.4145807112573
2.36385706104518,-209.2213777414779,-183.51592763245503,2552.376788134305
2.391343771057333,-213.19998588067088,-102.14920986327036,3371.5670637291914
2.4188304810694863,-214.69673764958932,-7.558195331631566,3241.9606955327663
2.44631719108164,-213.4446189535206,120.51096419924147,7738.617964363763
2.473803901093793,-207.6655621112314,248.09583434171327,-55.79638630164641
2.5012906111059463,-181.07800142444486,3090.2347849740413,244731.91703210215
2.5287773211180995,-53.37151309488665,12719.369082978501,1989036.9683065454
2.5562640311302527,53.74851326223358,13.30375229906764,-20513.173976085032
2.583750741142406,50.657099182421845,-98.48624531370109,7572.6567810632405
2.611237451154559,51.60710862790751,178.59811684450773,12034.086435300895
2.6387241611667127,59.00966758055682,255.03167811861124,-8711.579205579754
2.666210871178866,0.474714464256067,-20396.845026393774,-1272618.654505892
2.693697581191019,-214.87356263596675,-7025.609655063237,-189692.39331504828
2.7211842912031723,-428.91523207858114,-6781.630829215486,189104.5248140926
